year,plant,country_code,start_tech,end_tech,switch_type,capital_cost,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
2023,"Ansteel Group Chaoyang Steel & Iron Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Topy Industries Toyohashi steel plant,JPN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Japan,Asia,Eastern Asia
2023,Hüttenwerke Krupp Mannesmann (HKM) steel plant,DEU,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2023,ThyssenKrupp Acciai Speciali Terni steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,OMK Vyksa Steel Works,RUS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2023,"Tangshan Donghai Iron and Steel Group Co., Ltd.",CHN,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Shandong Shouguang Juneng Special Steel Co., Ltd.",CHN,BAT BF-BOF,Close plant,main cycle,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Hunan Valin Lianyuan Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Mass Global Investment Group Amman steel plant,JOR,EAF,Close plant,main cycle,0.0,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2023,Metalloinvest Ural Steel,RUS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2023,BlueScope Port Kembla steel plant,AUS,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,Oceania,Oceania,Australia and New Zealand
2023,Gerdau Açominas steel plant,BRA,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,Central and South America,South America,South America
2023,Tata Steel IJmuiden steel plant,NLD,Avg BF-BOF,Close plant,main cycle,0.0,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2023,"Tangshan Wenfeng Special Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Lengshuijiang Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Angang Steel Company Limited Bayuquan branch,CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,VMK Red October,RUS,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2023,"Linyi Jiangxin Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Chifeng Yuanlian Steel Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Yantai Walsin Stainless Steel Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Steel Dynamics Columbia City plant,USA,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,USMCA,North America,Northern America
2023,Feralpi Siderurgica Group steel plant,ITA,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Evraz ZSMK,RUS,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2023,Voestalpine Stahl Donawitz steel plant,AUT,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,EU + UK,Europe,Western Europe
