,year,steel_plant,technology,capacity,country_code,production,low_carbon_tech,s1_emissions,s2_emissions,s3_emissions,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
2212,2024,"Hebei Puyang Iron and Steel Co., Ltd.",Avg BF-BOF,1.5167,CHN,1.9146714017629773,N,4.791018437881288,0.0,0.4221075568726366,True,False,True,average,average,average,China,Asia,Eastern Asia
2213,2024,"Wu'an Yuhua Iron and Steel Co., Ltd.",Avg BF-BOF,6.8,CHN,8.584272125000492,N,21.480138048126037,0.0,1.8924845959872942,True,False,True,average,average,average,China,Asia,Eastern Asia
2214,2024,"Hebei Wenfeng Iron and Steel Co., Ltd.",Close plant,3.5,CHN,4.418375358456136,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2215,2024,"Xingtai Iron & Steel Co., Ltd.",Close plant,3.5,CHN,4.418375358456136,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2216,2024,"Hebei Jinxi Iron & Steel Group Co., Ltd.",Avg BF-BOF,3.2,CHN,4.039657470588467,N,10.108300257941664,0.0,0.8905809863469619,True,False,True,average,average,average,China,Asia,Eastern Asia
2217,2024,"Hebei Donghai Special Steel Co., Ltd.",BAT BF-BOF,10.0,CHN,12.623929595588958,N,24.739766108961273,0.0,2.0182210098111866,True,False,True,average,average,average,China,Asia,Eastern Asia
2218,2024,"Jingye Group Co., Ltd.",Avg BF-BOF,12.0,CHN,15.148715514706751,N,37.90612596728124,0.0,3.3396786988011073,True,False,True,average,average,average,China,Asia,Eastern Asia
2219,2024,"Delong Steel Co., Ltd.",Close plant,3.0,CHN,3.787178878676688,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2220,2024,"Tangshan Delong Iron & Steel Co., Ltd.",Close plant,2.4,CHN,3.02974310294135,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2221,2024,"Cangzhou China Railway Equipment Manufacture Material Co., Ltd.",BAT BF-BOF,7.5,CHN,9.46794719669172,N,18.554824581720958,0.0,1.51366575735839,True,False,True,average,average,average,China,Asia,Eastern Asia
2222,2024,"Tangshan Stainless Steel Co., Ltd.",Close plant,3.0,CHN,3.787178878676688,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2223,2024,"Tangshan Medium Thick Plate Co., Ltd.",BAT BF-BOF,4.0,CHN,5.049571838235583,N,9.89590644358451,0.0,0.8072884039244747,True,False,True,average,average,average,China,Asia,Eastern Asia
2224,2024,"Tangshan Fengnan District Jing'an Iron and Steel Co., Ltd.",Close plant,1.7,CHN,2.146068031250123,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2225,2024,"Zhongpu (Handan) Iron and Steel Co., Ltd.",Close plant,3.0,CHN,3.787178878676688,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2226,2024,"Hebei Xinwu'an Iron and Steel Group Xinhui Metallurgy Co., Ltd.",Close plant,2.0,CHN,2.5247859191177917,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2227,2024,"Hebei Yongyang Special Steel Group Co., Ltd.",EAF,3.2,CHN,4.039657470588467,N,0.6591484856814379,0.8865190709824177,0.07159605377925511,True,False,True,average,average,average,China,Asia,Eastern Asia
2228,2024,"Jinding Heavy Industry Co., Ltd.",Avg BF-BOF,3.0,CHN,3.787178878676688,N,9.47653149182031,0.0,0.8349196747002768,True,False,True,average,average,average,China,Asia,Eastern Asia
2229,2024,"Hebei Xin Wu'an Steel Group Wen'an Iron and Steel Co., Ltd.",Close plant,2.2,CHN,2.7772645110295713,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
