Metric,Region,Scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Crude steel demand,CIS,High Circ,62.20973657,61.3627045,60.29174652,59.1049322,57.88583512,56.66170546,55.43530688,54.2122229,52.99490396,51.78197573,50.5702661,49.35592751,48.13099992,46.89175238,45.63036069,44.34234994,43.02160912,41.66671261,40.40657162,39.34598399,38.38842354,37.40645606,36.38890599,35.33388479,34.23935682,33.10689208,31.93430251,30.71928277,29.46582726,28.16980604,26.82235451
Crude steel demand,Southeast Asia,High Circ,93.0559053,96.86123217,100.556629,104.1569976,107.6779391,111.1269477,114.4930754,117.7620626,120.9220043,123.9588051,126.8545162,129.5910489,132.1651558,134.560119,136.7627157,138.7597941,140.5319372,142.0629137,143.470782,144.9429677,146.5355903,147.9239664,149.044434,149.8879768,150.4446378,150.6957333,150.627476,150.2365877,149.525474,148.4998523,147.1651775
Crude steel demand,RoW,High Circ,28.36649605,29.37007572,30.3494075,31.30954918,32.24814934,33.16130342,34.04229904,34.89561547,35.71609192,36.50819758,37.2740359,38.01376688,38.72526715,39.41340662,40.07619537,40.70963463,41.31444041,41.88056913,42.4429417,43.06436456,43.75910343,44.42626066,45.04922369,45.6219775,46.14314938,46.60804235,47.01072707,47.34492311,47.60325273,47.77914102,47.86941909
Crude steel demand,World,BAU,1952.58073,1978.489828,2004.105386,2029.048534,2053.507893,2077.396495,2100.179782,2121.452621,2140.958486,2158.795044,2175.237274,2190.283504,2203.683992,2215.200846,2224.911786,2233.248726,2240.990483,2249.106372,2258.586948,2270.238262,2284.600917,2301.915105,2322.204065,2345.245138,2370.691259,2398.061037,2426.840633,2456.543129,2486.692558,2516.875472,2546.53411
Crude steel demand,World,High Circ,1928.827777,1929.246969,1927.884843,1921.268238,1909.434105,1892.612074,1870.383964,1842.207984,1808.18668,1769.567211,1728.548334,1687.603371,1648.886918,1613.791945,1582.995904,1556.55788,1534.153804,1515.23255,1502.578272,1498.392226,1500.536333,1504.479727,1509.018539,1513.552163,1517.557094,1520.529735,1522.035509,1521.732397,1519.329149,1514.607094,1507.26899
Scrap availability,China,BAU,149.2589882,157.9521626,167.8736676,179.0197931,191.3987192,204.976069,219.6710775,235.3727052,251.9450854,269.2498271,287.1435779,305.4615186,324.0289697,342.6970307,361.367753,380.0026635,398.6145018,417.2485876,435.9575909,454.7786774,473.7148266,492.7225163,511.7049534,530.5089363,548.9254199,566.6995822,583.5536509,599.2198161,613.4763353,626.1776127,637.2705
Scrap availability,Europe,BAU,119.998556,122.0050341,123.8209875,125.468914,126.9970652,128.4646054,129.9141518,131.3699382,132.8439497,134.3440291,135.8904219,137.5134667,139.244093,141.0980169,143.076119,145.1595522,147.3130585,149.485336,151.6119724,153.624048,155.4572713,157.0637745,158.4200258,159.5291016,160.4191875,161.135296,161.727943,162.2417868,162.7094226,163.1519492,163.5744432
Scrap availability,NAFTA,BAU,115.9423763,116.7271392,117.4615901,118.1571084,118.8197704,119.4548523,120.0680444,120.6663308,121.2578483,121.8523033,122.4602492,123.0928053,123.7602615,124.4727807,125.2398468,126.0706195,126.9726213,127.9509567,129.0067705,130.1370367,131.3365268,132.5986216,133.9161589,135.280297,136.6815977,138.1097303,139.5555501,141.0108999,142.469455,143.9270136,145.3778641
Scrap availability,India,BAU,16.50634841,17.6662369,18.8817197,20.15617014,21.49462172,22.90108311,24.3766731,25.92288123,27.54037204,29.23003865,30.99325751,32.83224764,34.74943562,36.74869636,38.83409678,41.00979025,43.27996915,45.64904152,48.12079813,50.69801053,53.38253149,56.17554514,59.07852625,62.09262025,65.21810519,68.4541259,71.79880301,75.24999867,78.80453247,82.45797791,86.2048862
Scrap availability,"Japan, South Korea, and Taiwan",BAU,122.4014898,122.6636399,122.9199311,123.1666223,123.3873879,123.554433,123.6470564,123.6704748,123.6566647,123.6481501,123.6759597,123.7453775,123.836627,123.9213431,123.9871881,124.0346328,124.0675655,124.0851318,124.084832,124.0626357,124.0162053,123.9442861,123.8482907,123.7283823,123.5862848,123.4231172,123.2406139,123.0407769,122.823647,122.5906295,122.3359318
